sample_id,true_label,pseudotime_mean,pseudotime_std
TCGA-FS-A4FB-06,Metastasis,0.7384355664253235,0.07074159875591568
TCGA-BF-A5EP-01,Primary Tumor,0.7414300799369812,0.027165834950412478
TCGA-GN-A9SD-06,Metastasis,0.745641565322876,0.03022498911636164
TCGA-WE-AA9Y-06,Metastasis,0.7539631843566894,0.02344569332424927
TCGA-EE-A2M6-06,Metastasis,0.7584479212760925,0.013300141555425945
TCGA-EE-A20F-06,Metastasis,0.7590704560279846,0.011581399527080124
TCGA-DA-A1I0-06,Metastasis,0.7678956866264344,0.01825441598810486
TCGA-D9-A148-06,Metastasis,0.7741492390632629,0.014971495563365586
TCGA-EE-A29X-06,Metastasis,0.7833968520164489,0.02976215093512263
TCGA-BF-A3DM-01,Primary Tumor,0.7863035440444947,0.025667842075988753
TCGA-BF-A5ES-01,Primary Tumor,0.7891849160194397,0.028591366073596233
TCGA-EE-A2M8-06,Metastasis,0.7896982669830322,0.015231058312478934
TCGA-EE-A2A6-06,Metastasis,0.7903539657592773,0.01214357635508327
TCGA-YD-A9TA-06,Metastasis,0.7990183591842651,0.04115060426263412
TCGA-DA-A95V-06,Metastasis,0.8072083950042724,0.014928410183784019
TCGA-FS-A1ZY-06,Metastasis,0.8139350652694702,0.03770387430988838
TCGA-D3-A3MR-06,Metastasis,0.8158664703369141,0.021442558638904662
TCGA-ER-A2NC-06,Metastasis,0.8290623307228089,0.009678933354565801
TCGA-D9-A6EG-06,Metastasis,0.8350837349891662,0.0450347015661552
TCGA-EB-A97M-01,Primary Tumor,0.835395336151123,0.031106364280107233
TCGA-D9-A4Z5-01,Primary Tumor,0.8384758114814759,0.03933880516765136
GTEX-139T4-0008-SM-5S2WF,Normal Tissue,0.8387838840484619,0.054833309707636974
TCGA-IH-A3EA-01,Primary Tumor,0.849019980430603,0.035316309935082286
TCGA-D9-A3Z4-01,Primary Tumor,0.8495437741279602,0.017531372847673404
TCGA-RP-A695-06,Metastasis,0.855546510219574,0.028504885150273898
TCGA-FR-A3YO-06,Metastasis,0.855598783493042,0.026892526743236424
TCGA-D3-A8GK-06,Metastasis,0.8561554312705993,0.052496106413889715
TCGA-FW-A3R5-06,Metastasis,0.8657131314277648,0.022257352986099217
TCGA-DA-A1I2-06,Metastasis,0.8701853632926941,0.016507274784995318
TCGA-EE-A29B-06,Metastasis,0.8718602299690247,0.03660269042764436
TCGA-FW-A3TU-06,Metastasis,0.8770006775856019,0.02759647374038385
TCGA-D9-A3Z3-06,Metastasis,0.8814855456352234,0.03288415639262236
TCGA-GN-A26C-01,Primary Tumor,0.8862271308898926,0.01318794943910877
TCGA-WE-AAA0-06,Metastasis,0.8864984154701233,0.028062254695658862
TCGA-D3-A5GN-06,Metastasis,0.8912319540977478,0.022530585603719407
TCGA-WE-A8ZM-06,Metastasis,0.8987133622169494,0.012984629291061733
TCGA-D3-A51G-06,Metastasis,0.9073669910430908,0.05628341271353378
TCGA-ER-A42H-01,Primary Tumor,0.9092424511909485,0.05696753146213414
TCGA-D3-A8GO-06,Metastasis,0.9149195075035095,0.02451301147956501
TCGA-GN-A262-06,Metastasis,0.916574501991272,0.031191475410203423
TCGA-D3-A8GQ-06,Metastasis,0.9221507668495178,0.03128659243692672
TCGA-D3-A1Q7-06,Metastasis,0.9233626604080201,0.02047219213825942
TCGA-D3-A8GR-06,Metastasis,0.9253427863121033,0.034794073712801514
TCGA-YG-AA3O-06,Metastasis,0.9293601870536804,0.02653690318205052
TCGA-WE-A8ZN-06,Metastasis,0.9341765522956849,0.026565724940008056
TCGA-YG-AA3P-06,Metastasis,0.9469513535499573,0.0553343603373109
TCGA-D3-A51R-06,Metastasis,0.9765426993370057,0.027215126709152958
TCGA-D3-A3MV-06,Metastasis,0.9842077493667603,0.013086096663352352
