,Primary Tumor,Metastasis,Benign Nevus,Metastasis - Primary,Tumor - Normal
RPL21P39,3.0,3.0,3.0,0.0,0.0
SEPT14P4,3.0,3.0,3.0,0.0,0.0
SNX18P9,3.0,3.0,3.0,0.0,0.0
CAB39P1,3.0,3.0,3.0,0.0,0.0
ZNF30-AS1,3.0,3.0,3.0,0.0,0.0
DNAJC19P9,3.0,3.0,3.0,0.0,0.0
FABP5P2,3.0,3.0,3.0,0.0,0.0
CLDN24,3.0,3.0,3.0,0.0,0.0
RPL21P54,3.0,3.0,3.0,0.0,0.0
PRADC1P1,3.0,3.0,3.0,0.0,0.0
PIGUP1,3.0,3.0,3.0,0.0,0.0
TYR,3.0,3.0,3.0,0.0,0.0
FGF10,3.0,3.0,3.0,0.0,0.0
