,Primary Tumor,Metastasis,Benign Nevus,Metastasis - Primary,Tumor - Normal
CTAGE15,3.0,3.0,3.0,0.0,0.0
DPEP3,3.0,3.0,3.0,0.0,0.0
DKFZP434L187,3.0,3.0,3.0,0.0,0.0
MAGEA9,3.0,3.0,3.0,0.0,0.0
CLK3P2,3.0,3.0,3.0,0.0,0.0
VSTM2B,3.0,3.0,3.0,0.0,0.0
PTMAP8,3.0,3.0,3.0,0.0,0.0
IRX1,3.0,3.0,3.0,0.0,0.0
CHP2,3.0,3.0,3.0,0.0,0.0
GRPEL2-AS1,3.0,3.0,3.0,0.0,0.0
TRAV40,3.0,3.0,3.0,0.0,0.0
RPL18P10,3.0,3.0,3.0,0.0,0.0
RPL34P6,3.0,3.0,3.0,0.0,0.0
COX5BP6,3.0,3.0,3.0,0.0,0.0
NXNL1,3.0,3.0,3.0,0.0,0.0
TUBBP2,3.0,3.0,3.0,0.0,0.0
CHL1-AS1,3.0,3.0,3.0,0.0,0.0
SPANXB1,3.0,3.0,3.0,0.0,0.0
GPS2P1,3.0,3.0,3.0,0.0,0.0
TMEM14D,3.0,3.0,3.0,0.0,0.0
HOXA10-AS,3.0,3.0,3.0,0.0,0.0
REG1A,3.0,3.0,3.0,0.0,0.0
RPL36AP29,3.0,3.0,3.0,0.0,0.0
PLA2G3,3.0,3.0,3.0,0.0,0.0
CYCSP52,3.0,3.0,3.0,0.0,0.0
SHISA3,3.0,3.0,3.0,0.0,0.0
CAPNS2,3.0,3.0,3.0,0.0,0.0
RPTN,3.0,3.0,3.0,0.0,0.0
TRBV7-4,3.0,3.0,3.0,0.0,0.0
PRDM13,3.0,3.0,3.0,0.0,0.0
RPL7P50,3.0,3.0,3.0,0.0,0.0
SEC62-AS1,3.0,3.0,3.0,0.0,0.0
GTSF1L,3.0,3.0,3.0,0.0,0.0
KLHL2P1,3.0,3.0,3.0,0.0,0.0
ZDHHC20-IT1,3.0,3.0,3.0,0.0,0.0
ZNF649-AS1,3.0,3.0,3.0,0.0,0.0
TPT1P5,3.0,3.0,3.0,0.0,0.0
SEPT14P12,3.0,3.0,3.0,0.0,0.0
