,Primary Tumor,Metastasis,Normal Tissue,Metastasis - Primary,Tumor - Normal
RP11-265N6.1,3.0,3.0,3.0,0.0,0.0
LINC01527,3.0,3.0,3.0,0.0,0.0
IGKV6-21,3.0,3.0,3.0,0.0,0.0
DLEU1_1,3.0,3.0,3.0,0.0,0.0
CTSG,3.0,3.0,3.0,0.0,0.0
HLA-DQB2,3.0,3.0,3.0,0.0,0.0
C6orf15,3.0,3.0,3.0,0.0,0.0
FAM95C,3.0,3.0,3.0,0.0,0.0
AC091729.7,3.0,3.0,3.0,0.0,0.0
XAGE1B,3.0,3.0,3.0,0.0,0.0
HMGN1P36,3.0,3.0,3.0,0.0,0.0
TMSB4XP2,3.0,3.0,3.0,0.0,0.0
CTB-102L5.4,3.0,3.0,3.0,0.0,0.0
AC005606.14,3.0,3.0,3.0,0.0,0.0
IGLV3-9,3.0,3.0,3.0,0.0,0.0
LYPD6B,3.0,3.0,3.0,0.0,0.0
IGHV3-66,3.0,3.0,3.0,0.0,0.0
PRKY,3.0,3.0,3.0,0.0,0.0
RP11-34P13.16,3.0,3.0,3.0,0.0,0.0
PNLIP,3.0,3.0000000002921796,3.0000000050714037,2.921796138366517e-10,-4.925313934478481e-09
XIST,3.0,3.0,3.0,0.0,0.0
RP11-109P14.10,3.0,3.0,3.0,0.0,0.0
PRR9,3.0,3.0,3.0,0.0,0.0
ARSF,3.0,3.0,3.0,0.0,0.0
IGKV3D-20,3.0,3.0,3.0,0.0,0.0
TFAP2B,3.0,3.0,3.0,0.0,0.0
CTA-398F10.2,3.0,3.0,3.0,0.0,0.0
TRAV19,3.0,3.0,3.0,0.0,0.0
RP11-529K1.3,3.0,3.0,3.0,0.0,0.0
PRM1,3.0,3.0,3.0,0.0,0.0
IGLV9-49,3.0,3.0,3.0,0.0,0.0
RP11-63M22.2,3.0,3.0,3.0,0.0,0.0
RP11-723O4.7,3.0,3.0,3.0,0.0,0.0
KRTAP1-3,3.0,3.0,3.0,0.0,0.0
NLRP10,3.0,3.0,3.0,0.0,0.0
ZFY,3.0,3.0,3.0,0.0,0.0
SNORA5A,3.0,3.0,3.0,0.0,0.0
CTD-2527I21.4,3.0,3.0,3.0,0.0,0.0
IL20RA,3.0,3.0,3.0,0.0,0.0
AC107983.4,3.0,3.0,3.0,0.0,0.0
RP4-529N6.1,3.0,3.0,3.0,0.0,0.0
BARX2,3.0,3.0,3.0,0.0,0.0
AC003092.1,3.0,3.0,3.0,0.0,0.0
HOXA11-AS1_6,3.0,3.0,3.0,0.0,0.0
CXCL6,3.0,3.0,3.0,0.0,0.0
RN7SKP287,3.0,3.0,3.0,0.0,0.0
STK19B,3.0,3.0,3.0,0.0,0.0
RP3-425C14.6,3.0,3.0,3.0,0.0,0.0
OR2I1P,3.0,3.0,3.0,0.0,0.0
RP4-568C11.4,3.0,3.0,3.0,0.0,0.0
KB-1991G8.1,3.0,3.0,3.0,0.0,0.0
AC104451.2,3.0,3.0,3.0,0.0,0.0
ABCA12,3.0,3.0,3.0,0.0,0.0
RP11-73M18.2,3.0,3.0,3.0,0.0,0.0
AC025048.1,3.0,3.0,3.0,0.0,0.0
RN7SL12P,3.0,3.0,3.0,0.0,0.0
KRT42P,3.0,3.0,3.0,0.0,0.0
IGLV3-27,3.0,3.0,3.0,0.0,0.0
PNPLA1,3.0,3.0,3.0,0.0,0.0
AC104534.3,3.0,3.0,3.0,0.0,0.0
RP4-545L17.11,3.0,3.0,3.0,0.0,0.0
RP11-434D2.11,3.0,3.0,3.0,0.0,0.0
AC016629.7,3.0,3.0,3.0,0.0,0.0
SLC2A3P1,3.0,3.0,3.0,0.0,0.0
EDN2,3.0,3.0,3.0,0.0,0.0
RP11-1143G9.4,3.0,3.0,3.0,0.0,0.0
RP11-374M1.11,3.0,3.0,3.0,0.0,0.0
RSC1A1,3.0,3.0,3.0,0.0,0.0
KRTAP1-1,3.0,3.0,3.0,0.0,0.0
ATP13A5,3.0,3.0,3.0,0.0,0.0
DAZ1,3.0,3.0,3.0,0.0,0.0
RP11-455O6.8,3.0,3.0,3.0,0.0,0.0
ROPN1,3.0,3.0,3.0,0.0,0.0
PLA2G4E-AS1,3.0,3.0,3.0,0.0,0.0
IGLC1,3.0,3.0,3.0,0.0,0.0
DUOXA1,3.0,3.0,3.0,0.0,0.0
RP11-977G19.10,3.0,3.0,3.0,0.0,0.0
SLCO4A1-AS1,3.0,3.0,3.0,0.0,0.0
IGHV3-74,3.0,3.0,3.0,0.0,0.0
LRRC26,3.0,3.0,3.0,0.0,0.0
TNS4,3.0,3.0,3.0,0.0,0.0
TRBV7-9,3.0,3.0,3.0,0.0,0.0
RP11-599B13.6,3.0,3.0,3.0,0.0,0.0
HMGN1P18,3.0,3.0,3.0,0.0,0.0
TRBV9,3.0,3.0,3.0,0.0,0.0
RP11-481J2.2,3.0,3.0,3.0,0.0,0.0
CTD-2008P7.9,3.0,3.0,3.0,0.0,0.0
PHGR1,3.0,3.0,3.0,0.0,0.0
IGHG2,3.0,3.0,3.0,0.0,0.0
RP11-64D22.1,3.0,3.0,3.0,0.0,0.0
RP11-265D17.2,3.0,3.0,3.0,0.0,0.0
RP1-170O19.23,3.0,3.0,3.0,0.0,0.0
RN7SL67P,3.0,3.0,3.0,0.0,0.0
RP11-439C8.2,3.0,3.0,3.0,0.0,0.0
C6orf25,3.0,3.0,3.0,0.0,0.0
CH17-232I21.1,3.0,3.0,3.0,0.0,0.0
AC010967.2,3.0,3.0,3.0,0.0,0.0
LINC01212,3.0,3.0,3.0,0.0,0.0
AF129408.17,3.0,3.0,3.0,0.0,0.0
RP5-882O7.1,3.0,3.0,3.0,0.0,0.0
APOC3,3.0,3.0,3.0,0.0,0.0
BIVM-ERCC5,3.0,3.0,3.0,0.0,0.0
HLA-DQB1-AS1,3.0,3.0,3.0,0.0,0.0
BNIPL,3.0,3.0,3.0,0.0,0.0
RP11-392E22.10,3.0,3.0,3.0,0.0,0.0
RP11-532F12.5,3.0,3.0,3.0,0.0,0.0
RP1-59D14.1,3.0,3.0,3.0,0.0,0.0
ADIPOQ,3.0,3.0,3.0,0.0,0.0
SMAD5-AS1_1,3.0,3.0,3.0,0.0,0.0
BCAP31P1,3.0,3.0,3.0,0.0,0.0
KRTAP4-9,3.0,3.0,3.0,0.0,0.0
RP11-469H8.6,3.0,3.0,3.0,0.0,0.0
PI4K2B,3.0,3.0,3.0,0.0,0.0
AC145110.1,3.0,3.0,3.0,0.0,0.0
RN7SL417P,3.0,3.0,3.0,0.0,0.0
AL590762.10,3.0,3.0,3.0,0.0,0.0
RPS20P10,3.0,3.0,3.0,0.0,0.0
RP11-392E22.5,3.0,3.0,3.0,0.0,0.0
RP6-65G23.5,3.0,3.0,3.0,0.0,0.0
KRTAP9-8,3.0,3.0,3.0,0.0,0.0
NAV2-AS1,3.0,3.0,3.0,0.0,0.0
CALN1,3.0,3.0,3.0,0.0,0.0
RP11-259G18.3,3.0,3.0,3.0,0.0,0.0
TRBV12-3,3.0,3.0,3.0,0.0,0.0
HAL,3.0,3.0,3.0,0.0,0.0
RP11-206L10.5,3.0,3.0,3.0,0.0,0.0
CD1A,3.0,3.0,3.0,0.0,0.0
AC073850.6,3.0,3.0,3.0,0.0,0.0
AADAC,3.0,3.0,3.0,0.0,0.0
AC093159.1,3.0,3.0,3.0,0.0,0.0
RP11-689K5.3,3.0,3.0,3.0,0.0,0.0
IMMP1LP1,3.0,3.0,3.0,0.0,0.0
RP11-77H9.5,3.0,3.0,3.0,0.0,0.0
SLC6A11,3.0,3.0,3.0,0.0,0.0
TBC1D3D,3.0,3.0,3.0,0.0,0.0
MAL2,3.0,3.0,3.0,0.0,0.0
AC002075.4,3.0,3.0,3.0,0.0,0.0
CTD-2396E7.9,3.0,3.0,3.0,0.0,0.0
RP11-380M21.2,3.0,3.0,3.0,0.0,0.0
HOPX,3.0,3.0,3.0,0.0,0.0
IGHV1-58,3.0,3.0,3.0,0.0,0.0
CTD-2380F24.1,3.0,3.0,3.0,0.0,0.0
RP11-524H19.2,3.0,3.0,3.0,0.0,0.0
FAM153B,3.0,3.0,3.0,0.0,0.0
RP1-149A16.16,3.0,3.0,3.0,0.0,0.0
CRABP1,3.0,3.0,3.0,0.0,0.0
MLLT10P1,3.0,3.0,3.0,0.0,0.0
LINC00221,3.0,3.0,3.0,0.0,0.0
TMEM184A,3.0,3.0,3.0,0.0,0.0
SRP9P1,3.0,3.0,3.0,0.0,0.0
CRNN,3.0,3.0,3.0,0.0,0.0
RP11-254F7.3,3.0,3.0,3.0,0.0,0.0
S100B,3.0,3.0,3.0,0.0,0.0
RP11-259O2.1,3.0,3.0,3.0,0.0,0.0
U4,3.0,3.0,3.0,0.0,0.0
ELFN1-AS1,3.0,3.0,3.0,0.0,0.0
EPPK1,3.0,3.0,3.0,0.0,0.0
AC079767.4,3.0,3.0,3.0,0.0,0.0
RP11-527D7.1,3.0,3.0,3.0,0.0,0.0
