query_idx,query_id,query_class,rank,neighbor_id,neighbor_class,cosine,same_class
6,TCGA-FS-A1ZA-06,Metastasis,0,TCGA-EB-A6R0-01,Primary Tumor,0.9935400485992432,False
6,TCGA-FS-A1ZA-06,Metastasis,1,TCGA-BF-A5EQ-01,Primary Tumor,0.9893816709518433,False
6,TCGA-FS-A1ZA-06,Metastasis,2,TCGA-OD-A75X-06,Metastasis,0.9887558221817017,True
6,TCGA-FS-A1ZA-06,Metastasis,3,TCGA-FS-A1ZZ-06,Metastasis,0.9884631633758545,True
6,TCGA-FS-A1ZA-06,Metastasis,4,TCGA-D3-A2JP-06,Metastasis,0.9884297251701355,True
6,TCGA-FS-A1ZA-06,Metastasis,5,TCGA-XV-AAZY-01,Primary Tumor,0.98333340883255,False
6,TCGA-FS-A1ZA-06,Metastasis,6,TCGA-EE-A3AA-06,Metastasis,0.9831903576850891,True
6,TCGA-FS-A1ZA-06,Metastasis,7,TCGA-D3-A3C8-06,Metastasis,0.9819377064704895,True
6,TCGA-FS-A1ZA-06,Metastasis,8,TCGA-ER-A19E-06,Metastasis,0.980400025844574,True
6,TCGA-FS-A1ZA-06,Metastasis,9,TCGA-BF-A1Q0-01,Primary Tumor,0.9777991771697998,False
7,TCGA-EE-A17X-06,Metastasis,0,TCGA-FS-A1ZK-06,Metastasis,0.9992518424987793,True
7,TCGA-EE-A17X-06,Metastasis,1,TCGA-BF-A3DM-01,Primary Tumor,0.998866856098175,False
7,TCGA-EE-A17X-06,Metastasis,2,TCGA-DA-A1I4-06,Metastasis,0.9976621866226196,True
7,TCGA-EE-A17X-06,Metastasis,3,TCGA-EB-A42Z-01,Primary Tumor,0.9971765875816345,False
7,TCGA-EE-A17X-06,Metastasis,4,TCGA-D3-A8GI-06,Metastasis,0.9968855381011963,True
7,TCGA-EE-A17X-06,Metastasis,5,TCGA-EE-A3AF-06,Metastasis,0.9967495203018188,True
7,TCGA-EE-A17X-06,Metastasis,6,TCGA-EE-A2MI-06,Metastasis,0.9965411424636841,True
7,TCGA-EE-A17X-06,Metastasis,7,TCGA-ER-A19Q-06,Metastasis,0.9958028197288513,True
7,TCGA-EE-A17X-06,Metastasis,8,TCGA-D3-A51G-06,Metastasis,0.9950921535491943,True
7,TCGA-EE-A17X-06,Metastasis,9,TCGA-FS-A1ZD-06,Metastasis,0.9949455261230469,True
8,TCGA-FR-A8YD-06,Metastasis,0,TCGA-EE-A2GS-06,Metastasis,0.9985873103141785,True
8,TCGA-FR-A8YD-06,Metastasis,1,TCGA-EE-A3AH-06,Metastasis,0.9972015023231506,True
8,TCGA-FR-A8YD-06,Metastasis,2,TCGA-EE-A2GP-06,Metastasis,0.9962232112884521,True
8,TCGA-FR-A8YD-06,Metastasis,3,TCGA-D3-A1Q5-06,Metastasis,0.9950342178344727,True
8,TCGA-FR-A8YD-06,Metastasis,4,TCGA-DA-A1HY-06,Metastasis,0.9942581653594971,True
8,TCGA-FR-A8YD-06,Metastasis,5,TCGA-D3-A1Q6-06,Metastasis,0.9934250712394714,True
8,TCGA-FR-A8YD-06,Metastasis,6,TCGA-EE-A2MR-06,Metastasis,0.9934049248695374,True
8,TCGA-FR-A8YD-06,Metastasis,7,TCGA-EE-A183-06,Metastasis,0.993125319480896,True
8,TCGA-FR-A8YD-06,Metastasis,8,TCGA-EE-A3AC-06,Metastasis,0.9918178915977478,True
8,TCGA-FR-A8YD-06,Metastasis,9,TCGA-D3-A1Q9-06,Metastasis,0.9893943667411804,True
9,TCGA-FS-A1ZF-06,Metastasis,0,TCGA-GF-A769-01,Primary Tumor,0.9993153810501099,False
9,TCGA-FS-A1ZF-06,Metastasis,1,TCGA-ER-A19T-06,Metastasis,0.9981096982955933,True
9,TCGA-FS-A1ZF-06,Metastasis,2,TCGA-FS-A1Z3-06,Metastasis,0.9975541234016418,True
9,TCGA-FS-A1ZF-06,Metastasis,3,TCGA-YD-A89C-06,Metastasis,0.9974719285964966,True
9,TCGA-FS-A1ZF-06,Metastasis,4,TCGA-ER-A2ND-06,Metastasis,0.9963802695274353,True
9,TCGA-FS-A1ZF-06,Metastasis,5,TCGA-D3-A3C6-06,Metastasis,0.9961353540420532,True
9,TCGA-FS-A1ZF-06,Metastasis,6,TCGA-D3-A3MO-06,Metastasis,0.9961247444152832,True
9,TCGA-FS-A1ZF-06,Metastasis,7,TCGA-WE-A8K6-06,Metastasis,0.9954794645309448,True
9,TCGA-FS-A1ZF-06,Metastasis,8,TCGA-FR-A7U8-06,Metastasis,0.9952625036239624,True
9,TCGA-FS-A1ZF-06,Metastasis,9,TCGA-D3-A3MV-06,Metastasis,0.9951172471046448,True
10,GTEX-X585-0008-SM-46MU4,Normal Tissue,0,GTEX-WOFL-0008-SM-4OOSZ,Normal Tissue,0.9988301992416382,True
10,GTEX-X585-0008-SM-46MU4,Normal Tissue,1,GTEX-113IC-0008-SM-5QGRF,Normal Tissue,0.9986479878425598,True
10,GTEX-X585-0008-SM-46MU4,Normal Tissue,2,GTEX-SJXC-0008-SM-4DM7G,Normal Tissue,0.9984984993934631,True
10,GTEX-X585-0008-SM-46MU4,Normal Tissue,3,GTEX-QEG5-0008-SM-4R1KL,Normal Tissue,0.9984661340713501,True
10,GTEX-X585-0008-SM-46MU4,Normal Tissue,4,GTEX-P4QS-0008-SM-48TDY,Normal Tissue,0.9984217286109924,True
10,GTEX-X585-0008-SM-46MU4,Normal Tissue,5,GTEX-Y111-0008-SM-4SOJ3,Normal Tissue,0.9983717799186707,True
10,GTEX-X585-0008-SM-46MU4,Normal Tissue,6,GTEX-X5EB-0008-SM-46MU3,Normal Tissue,0.9981202483177185,True
10,GTEX-X585-0008-SM-46MU4,Normal Tissue,7,GTEX-WHSB-0008-SM-4M1ZP,Normal Tissue,0.9973024725914001,True
10,GTEX-X585-0008-SM-46MU4,Normal Tissue,8,GTEX-WHSE-0008-SM-4M1ZO,Normal Tissue,0.996917724609375,True
10,GTEX-X585-0008-SM-46MU4,Normal Tissue,9,GTEX-QXCU-0008-SM-48FCH,Normal Tissue,0.9966886043548584,True
11,TCGA-EB-A41A-01,Primary Tumor,0,TCGA-EB-A3Y6-01,Primary Tumor,0.9860911965370178,True
11,TCGA-EB-A41A-01,Primary Tumor,1,TCGA-3N-A9WB-06,Metastasis,0.9838219881057739,False
11,TCGA-EB-A41A-01,Primary Tumor,2,TCGA-EB-A24D-01,Primary Tumor,0.9798930287361145,True
11,TCGA-EB-A41A-01,Primary Tumor,3,TCGA-BF-AAP1-01,Primary Tumor,0.9786291122436523,True
11,TCGA-EB-A41A-01,Primary Tumor,4,TCGA-EE-A29V-06,Metastasis,0.9764488339424133,False
11,TCGA-EB-A41A-01,Primary Tumor,5,TCGA-EB-A44P-01,Primary Tumor,0.9726002812385559,True
11,TCGA-EB-A41A-01,Primary Tumor,6,TCGA-EB-A51B-01,Primary Tumor,0.9692381620407104,True
11,TCGA-EB-A41A-01,Primary Tumor,7,TCGA-EB-A5SE-01,Primary Tumor,0.9686236381530762,True
11,TCGA-EB-A41A-01,Primary Tumor,8,TCGA-EB-A6QZ-01,Primary Tumor,0.9626350998878479,True
11,TCGA-EB-A41A-01,Primary Tumor,9,TCGA-EB-A3XB-01,Primary Tumor,0.9614691138267517,True
12,TCGA-D3-A3ML-06,Metastasis,0,TCGA-ER-A42H-01,Primary Tumor,0.9982530474662781,False
12,TCGA-D3-A3ML-06,Metastasis,1,TCGA-D3-A8GI-06,Metastasis,0.998171329498291,True
12,TCGA-D3-A3ML-06,Metastasis,2,TCGA-EE-A29E-06,Metastasis,0.9975414276123047,True
12,TCGA-D3-A3ML-06,Metastasis,3,TCGA-YG-AA3P-06,Metastasis,0.9974876046180725,True
12,TCGA-D3-A3ML-06,Metastasis,4,TCGA-EE-A180-06,Metastasis,0.99716717004776,True
12,TCGA-D3-A3ML-06,Metastasis,5,TCGA-FS-A1ZG-06,Metastasis,0.9971376657485962,True
12,TCGA-D3-A3ML-06,Metastasis,6,TCGA-EE-A3J8-06,Metastasis,0.9964873194694519,True
12,TCGA-D3-A3ML-06,Metastasis,7,TCGA-FR-A69P-06,Metastasis,0.9961819052696228,True
12,TCGA-D3-A3ML-06,Metastasis,8,TCGA-EE-A3J4-06,Metastasis,0.9958184957504272,True
12,TCGA-D3-A3ML-06,Metastasis,9,TCGA-DA-A95Z-06,Metastasis,0.995160698890686,True
13,TCGA-EE-A2MP-06,Metastasis,0,TCGA-BF-A1PZ-01,Primary Tumor,0.999578058719635,False
13,TCGA-EE-A2MP-06,Metastasis,1,TCGA-EB-A431-01,Primary Tumor,0.9990358352661133,False
13,TCGA-EE-A2MP-06,Metastasis,2,TCGA-EE-A29L-06,Metastasis,0.995915412902832,True
13,TCGA-EE-A2MP-06,Metastasis,3,TCGA-D9-A1X3-06,Metastasis,0.9951462745666504,True
13,TCGA-EE-A2MP-06,Metastasis,4,TCGA-EE-A3AG-06,Metastasis,0.994054913520813,True
13,TCGA-EE-A2MP-06,Metastasis,5,TCGA-GN-A4U7-06,Metastasis,0.9938491582870483,True
13,TCGA-EE-A2MP-06,Metastasis,6,TCGA-ER-A19C-06,Metastasis,0.9924191236495972,True
13,TCGA-EE-A2MP-06,Metastasis,7,TCGA-ER-A19B-06,Metastasis,0.9920930862426758,True
13,TCGA-EE-A2MP-06,Metastasis,8,TCGA-EB-A4OY-01,Primary Tumor,0.9919173717498779,False
13,TCGA-EE-A2MP-06,Metastasis,9,TCGA-FS-A1YW-06,Metastasis,0.9887182712554932,True
14,TCGA-DA-A1I4-06,Metastasis,0,TCGA-FS-A1ZK-06,Metastasis,0.9992125034332275,True
14,TCGA-DA-A1I4-06,Metastasis,1,TCGA-EE-A17X-06,Metastasis,0.9976621866226196,True
14,TCGA-DA-A1I4-06,Metastasis,2,TCGA-FS-A1YX-06,Metastasis,0.9974092245101929,True
14,TCGA-DA-A1I4-06,Metastasis,3,TCGA-D3-A51G-06,Metastasis,0.9970531463623047,True
14,TCGA-DA-A1I4-06,Metastasis,4,TCGA-BF-A3DM-01,Primary Tumor,0.9969791769981384,False
14,TCGA-DA-A1I4-06,Metastasis,5,TCGA-EE-A2MI-06,Metastasis,0.9969159960746765,True
14,TCGA-DA-A1I4-06,Metastasis,6,TCGA-D3-A8GI-06,Metastasis,0.9969108700752258,True
14,TCGA-DA-A1I4-06,Metastasis,7,TCGA-FS-A4F0-06,Metastasis,0.9968994855880737,True
14,TCGA-DA-A1I4-06,Metastasis,8,TCGA-EE-A3J4-06,Metastasis,0.9962639808654785,True
14,TCGA-DA-A1I4-06,Metastasis,9,TCGA-FR-A69P-06,Metastasis,0.9958839416503906,True
15,GTEX-132NY-0326-SM-5IJBL,Normal Tissue,0,GTEX-12126-0826-SM-5FQTZ,Normal Tissue,0.9995387196540833,True
15,GTEX-132NY-0326-SM-5IJBL,Normal Tissue,1,GTEX-11DXZ-2026-SM-5987S,Normal Tissue,0.9994437098503113,True
15,GTEX-132NY-0326-SM-5IJBL,Normal Tissue,2,GTEX-SIU8-0126-SM-2XCDT,Normal Tissue,0.9991353750228882,True
15,GTEX-132NY-0326-SM-5IJBL,Normal Tissue,3,GTEX-13NYB-0126-SM-5J1MD,Normal Tissue,0.9988843202590942,True
15,GTEX-132NY-0326-SM-5IJBL,Normal Tissue,4,GTEX-13PDP-0726-SM-5L3HP,Normal Tissue,0.9988604784011841,True
15,GTEX-132NY-0326-SM-5IJBL,Normal Tissue,5,GTEX-XUJ4-1826-SM-4BOOU,Normal Tissue,0.998827338218689,True
15,GTEX-132NY-0326-SM-5IJBL,Normal Tissue,6,GTEX-133LE-2326-SM-5K7W3,Normal Tissue,0.998777449131012,True
15,GTEX-132NY-0326-SM-5IJBL,Normal Tissue,7,GTEX-12WSK-2326-SM-5GCOH,Normal Tissue,0.9987233877182007,True
15,GTEX-132NY-0326-SM-5IJBL,Normal Tissue,8,GTEX-ZYT6-2326-SM-5GZY3,Normal Tissue,0.9986881613731384,True
15,GTEX-132NY-0326-SM-5IJBL,Normal Tissue,9,GTEX-13VXU-0626-SM-5L3F9,Normal Tissue,0.998641848564148,True
16,GTEX-ZT9X-0008-SM-4YCD7,Normal Tissue,0,GTEX-ZTSS-0008-SM-4YCE8,Normal Tissue,0.9987379908561707,True
16,GTEX-ZT9X-0008-SM-4YCD7,Normal Tissue,1,GTEX-U8XE-0008-SM-4E3K4,Normal Tissue,0.997430682182312,True
16,GTEX-ZT9X-0008-SM-4YCD7,Normal Tissue,2,GTEX-SIU8-0008-SM-4BRUC,Normal Tissue,0.9967606067657471,True
16,GTEX-ZT9X-0008-SM-4YCD7,Normal Tissue,3,GTEX-T2IS-0008-SM-4DM75,Normal Tissue,0.9962366223335266,True
16,GTEX-ZT9X-0008-SM-4YCD7,Normal Tissue,4,GTEX-ZVT4-0008-SM-57WCA,Normal Tissue,0.9960815906524658,True
16,GTEX-ZT9X-0008-SM-4YCD7,Normal Tissue,5,GTEX-QV31-0008-SM-447AT,Normal Tissue,0.9957230091094971,True
16,GTEX-ZT9X-0008-SM-4YCD7,Normal Tissue,6,GTEX-SNOS-0008-SM-4DM6I,Normal Tissue,0.9954135417938232,True
16,GTEX-ZT9X-0008-SM-4YCD7,Normal Tissue,7,GTEX-QCQG-0008-SM-48U2G,Normal Tissue,0.9947709441184998,True
16,GTEX-ZT9X-0008-SM-4YCD7,Normal Tissue,8,GTEX-ZAB4-0008-SM-4RGM6,Normal Tissue,0.9946656823158264,True
16,GTEX-ZT9X-0008-SM-4YCD7,Normal Tissue,9,GTEX-S4Q7-0008-SM-3NM8A,Normal Tissue,0.994168221950531,True
17,TCGA-ER-A19S-06,Metastasis,0,TCGA-EE-A29T-06,Metastasis,0.9996687173843384,True
17,TCGA-ER-A19S-06,Metastasis,1,TCGA-ER-A19G-06,Metastasis,0.9980986714363098,True
17,TCGA-ER-A19S-06,Metastasis,2,TCGA-FW-A5DY-06,Metastasis,0.9978882074356079,True
17,TCGA-ER-A19S-06,Metastasis,3,TCGA-DA-A1HW-06,Metastasis,0.9978678226470947,True
17,TCGA-ER-A19S-06,Metastasis,4,TCGA-GN-A26C-01,Primary Tumor,0.9978296160697937,False
17,TCGA-ER-A19S-06,Metastasis,5,TCGA-D3-A5GN-06,Metastasis,0.9974842667579651,True
17,TCGA-ER-A19S-06,Metastasis,6,TCGA-GN-A8LL-06,Metastasis,0.9969167113304138,True
17,TCGA-ER-A19S-06,Metastasis,7,TCGA-EE-A29P-06,Metastasis,0.9966038465499878,True
17,TCGA-ER-A19S-06,Metastasis,8,TCGA-HR-A2OH-06,Metastasis,0.9962335824966431,True
17,TCGA-ER-A19S-06,Metastasis,9,TCGA-D3-A51K-06,Metastasis,0.9952813982963562,True
18,TCGA-EE-A3AB-06,Metastasis,0,TCGA-EE-A2ML-06,Metastasis,0.995093584060669,True
