,Primary Tumor,Metastasis,Normal Tissue,Metastasis - Primary,Tumor - Normal
LCE5A,3.0000000013775954,3.000000011748262,3.0000000040192707,1.0370666547743213e-08,2.5436581729820773e-09
CSAG3,3.0000000012326797,2.9999999998285833,2.999999999208821,-1.4040963947081764e-09,1.3218106609258484e-09
GJB4,3.0000000012186456,3.0000000089014542,2.999999999156862,7.682808611519931e-09,5.903188160516493e-09
KRT27,3.000000001085723,2.9999999924165204,3.000000001698029,-8.669202689048916e-09,-4.946907328218231e-09
KRT85,3.00000000096386,3.0000000085828953,2.999999999001619,7.619035180539413e-09,5.771758626593737e-09
IGKV1-33,3.0000000009096373,2.999999999282276,3.0000000028463982,-1.6273613567818757e-09,-2.7504416522106112e-09
KRT23,3.0000000003745075,3.0000000025558906,2.9999999989068526,2.181383074173482e-09,2.558346423597868e-09
LCE2A,3.0000000002561427,2.9999999913540365,3.0000000003600507,-8.902106163333201e-09,-4.554960852942713e-09
IGKV3D-15,3.0,3.0,3.0,0.0,0.0
HOXA11-AS1_6,3.0,3.0,3.0,0.0,0.0
BARX2,3.0,3.0,3.0,0.0,0.0
PRM1,3.0,3.0,3.0,0.0,0.0
FRG2DP,3.0,3.0,3.0,0.0,0.0
RP4-529N6.1,3.0,3.0,3.0,0.0,0.0
RP11-841O20.2,3.0,3.0,3.0,0.0,0.0
AC107983.4,3.0,3.0,3.0,0.0,0.0
AC072052.7,3.0,3.0,3.0,0.0,0.0
IL20RA,3.0,3.0,3.0,0.0,0.0
CXCL6,3.0,3.0,3.0,0.0,0.0
CTB-79E8.2,3.0,3.0,3.0,0.0,0.0
CYP2W1,3.0,3.0,3.0,0.0,0.0
RP11-529E10.7,3.0,3.0,3.0,0.0,0.0
AC079753.5,3.0,3.0,3.0,0.0,0.0
FABP9,3.0,3.0,3.0,0.0,0.0
TRBV10-3,3.0,3.0,3.0,0.0,0.0
RP11-221N13.3,3.0,3.0,3.0,0.0,0.0
RP11-529K1.3,3.0,3.0,3.0,0.0,0.0
RNASE7,3.0,3.0,3.0,0.0,0.0
RP11-73M18.2,3.0,3.0,3.0,0.0,0.0
KB-1991G8.1,3.0,3.0,3.0,0.0,0.0
AC104451.2,3.0,3.0,3.0,0.0,0.0
ABCA12,3.0,3.0,3.0,0.0,0.0
CTD-2527I21.4,3.0,3.0,3.0,0.0,0.0
MT1P3,3.0,3.0,3.0,0.0,0.0
AL928768.3,3.0,3.0,3.0,0.0,0.0
IGLV1-36,3.0,3.0,3.0,0.0,0.0
RP11-70C1.3,3.0,3.0,3.0,0.0,0.0
AC137695.1,3.0,3.0,3.0,0.0,0.0
HOXD13,3.0,3.0,3.0,0.0,0.0
IGKV1-12,3.0,3.0,3.0,0.0,0.0
NPPA-AS1_2,3.0,3.0,3.0,0.0,0.0
SNORA8,3.0,3.0,3.0,0.0,0.0
FTX_3,3.0,3.0,3.0,0.0,0.0
HOXA11-AS1_5,3.0,3.0,3.0,0.0,0.0
SNORA5A,3.0,3.0,3.0,0.0,0.0
CYP2C18,3.0,3.0,3.0,0.0,0.0
TPSD1,3.0,3.0,3.0,0.0,0.0
PLA1A,3.0,3.0,3.0,0.0,0.0
PAPD7,3.0,3.0,3.0,0.0,0.0
TGIF2-C20orf24,3.0,3.0,3.0,0.0,0.0
AC009133.22,3.0,3.0,3.0,0.0,0.0
IGKV1-39,3.0,3.0,3.0,0.0,0.0
RP11-498C9.2,3.0,3.0,3.0,0.0,0.0
HSPB1P1,3.0,3.0,3.0,0.0,0.0
SLC45A2,3.0,3.0,3.0,0.0,0.0
HIST1H1PS1,3.0,3.0,3.0,0.0,0.0
RP11-521D12.5,3.0,3.0,3.0,0.0,0.0
RP11-442J21.2,3.0,3.0,3.0,0.0,0.0
RP11-351I24.3,3.0,3.0,3.0,0.0,0.0
CTC-327F10.5,3.0,3.0,3.0,0.0,0.0
TIMM8AP1,3.0,3.0,3.0,0.0,0.0
NTF4,3.0,3.0,3.0,0.0,0.0
RPL23AP21,3.0,3.0,3.0,0.0,0.0
LINC00681,3.0,3.0,3.0,0.0,0.0
PRSS8,3.0,3.0,3.0,0.0,0.0
IGKV3D-11,3.0,3.0,3.0,0.0,0.0
NELL1,3.0,3.0,3.0,0.0,0.0
RP11-745A24.1,3.0,3.0,3.0,0.0,0.0
APOC1P1,3.0,3.0,3.0,0.0,0.0
LINC00958,3.0,3.0,3.0,0.0,0.0
RP11-618G20.1,3.0,3.0,3.0,0.0,0.0
CTD-2544N14.3,3.0,3.0,3.0,0.0,0.0
RP5-1056H1.2,3.0,3.0,3.0,0.0,0.0
IGLC3,3.0,3.0,3.0,0.0,0.0
EPN3,3.0,3.0,3.0,0.0,0.0
RP11-400N13.3,3.0,3.0,3.0,0.0,0.0
AC007193.6,3.0,3.0,3.0,0.0,0.0
CST2,3.0,3.0,3.0,0.0,0.0
SNORA65,3.0,3.0,3.0,0.0,0.0
TBC1D3C,3.0,3.0,3.0,0.0,0.0
FETUB,3.0,3.0,3.0,0.0,0.0
WNT7B,3.0,3.0,3.0,0.0,0.0
HELT,3.0,3.0,3.0,0.0,0.0
PRR9,3.0,3.0,3.0,0.0,0.0
ARSF,3.0,3.0,3.0,0.0,0.0
IGKV3D-20,3.0,3.0,3.0,0.0,0.0
TFAP2B,3.0,3.0,3.0,0.0,0.0
IGLV3-9,3.0,3.0,3.0,0.0,0.0
SPINK7,3.0,3.0,3.0,0.0,0.0
CDH12P2,3.0,3.0,3.0,0.0,0.0
SNORA4,3.0,3.0,3.0,0.0,0.0
FOXI1,3.0,3.0,3.0,0.0,0.0
RBBP8NL,3.0,3.0,3.0,0.0,0.0
LINC00518,3.0,3.0,3.0,0.0,0.0
IGKV6-21,3.0,3.0,3.0,0.0,0.0
DUOXA1,3.0,3.0,3.0,0.0,0.0
CTSG,3.0,3.0,3.0,0.0,0.0
RP11-6N17.6,3.0,3.0,3.0,0.0,0.0
TP53AIP1,3.0,3.0,3.0,0.0,0.0
GDPD2,3.0,3.0,3.0,0.0,0.0
RPL23AP60,3.0,3.0,3.0,0.0,0.0
KRTAP2-1,3.0,3.0,3.0,0.0,0.0
AC007000.11,3.0,3.0,3.0,0.0,0.0
RP11-408H20.3,3.0,3.0,3.0,0.0,0.0
SRY,3.0,3.0,3.0,0.0,0.0
PHF2P2,3.0,3.0,3.0,0.0,0.0
IGLV5-45,3.0,3.0,3.0,0.0,0.0
CTB-151G24.1,3.0,3.0,3.0,0.0,0.0
RAET1L,3.0,3.0,3.0,0.0,0.0
DLEU1_1,3.0,3.0,3.0,0.0,0.0
RP11-343H5.4,3.0,3.0,3.0,0.0,0.0
IGHV3-53,3.0,3.0,3.0,0.0,0.0
LY6G6D,3.0,3.0,3.0,0.0,0.0
GPR12,3.0,3.0,3.0,0.0,0.0
AC006262.5,3.0,3.0,3.0,0.0,0.0
AC006116.20,3.0,3.0,3.0,0.0,0.0
PVT1_1,3.0,3.0,3.0,0.0,0.0
RP11-256P1.1,3.0,3.0,3.0,0.0,0.0
AL009031.1,3.0,3.0,3.0,0.0,0.0
IGHG3,3.0,3.0,3.0,0.0,0.0
C19orf33,3.0,3.0,3.0,0.0,0.0
HLA-DQB2,3.0,3.0,3.0,0.0,0.0
RP11-109P14.10,3.0,3.0,3.0,0.0,0.0
FAM95C,3.0,3.0,3.0,0.0,0.0
AC091729.7,3.0,3.0,3.0,0.0,0.0
XAGE1B,3.0,3.0,3.0,0.0,0.0
HMGN1P36,3.0,3.0,3.0,0.0,0.0
TMSB4XP2,3.0,3.0,3.0,0.0,0.0
LINC01527,3.0,3.0,3.0,0.0,0.0
LYPD6B,3.0,3.0,3.0,0.0,0.0
IGHV3-66,3.0,3.0,3.0,0.0,0.0
PRKY,3.0,3.0,3.0,0.0,0.0
